room_id,hotel_id,room_number,room_type,floor,size_sqm,bed_type,max_occupancy,price_per_night,status,view_type,is_accessible,is_smoking,amenities,condition_rating,last_renovated,has_balcony,has_bathtub,accessibility_features
95591dcc-1f94-4f29-ac9a-81a3e737fbc3,d9bf33b8-1840-414d-98c6-28783bd17201,101,Deluxe,1,37.6,2 Queens,3,799.0,OCCUPIED,City,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine",5,2014,True,True,
791f41ff-f66d-4a6f-99c6-425f8ee3fade,d9bf33b8-1840-414d-98c6-28783bd17201,102,Standard,1,26.9,1 Queen,2,399.0,OCCUPIED,Street,False,False,"TV, WiFi, Safe, AC, Desk, Heating, Balcony",3,2009,False,False,
4f9cfd7f-cb40-41af-962c-881405d1d79f,d9bf33b8-1840-414d-98c6-28783bd17201,103,Executive,1,47.4,1 King,2,1199.0,RESERVED,Harbor,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine, Work Desk, Lounge Access",4,2026,False,False,
ea277f57-fdd4-4ab5-aef1-aa1329a07155,d9bf33b8-1840-414d-98c6-28783bd17201,104,Standard,1,28.2,1 King,2,270.0,AVAILABLE,City,False,False,"TV, WiFi, Safe, AC, Bathtub, Desk",3,2022,False,True,
dafd6997-002e-441b-ba0e-41137c2ac102,d9bf33b8-1840-414d-98c6-28783bd17201,105,Standard,1,28.3,1 Queen,2,335.0,AVAILABLE,Garden,False,False,"TV, WiFi, Safe, AC, Coffee Machine, Iron, Balcony",5,2025,False,True,
c3b7b5b0-460c-4902-ad1a-0c86a31d7759,d9bf33b8-1840-414d-98c6-28783bd17201,106,Standard,1,23.1,1 Queen,2,399.0,AVAILABLE,Garden,False,False,"TV, WiFi, Safe, AC, Desk",4,2026,False,False,
24ff2e97-b41a-4608-8d90-577cac681904,d9bf33b8-1840-414d-98c6-28783bd17201,107,Deluxe,1,30.6,1 King,2,799.0,OCCUPIED,Partial Sea,False,True,"TV, WiFi, Safe, AC, Minibar, Coffee Machine",5,2019,False,True,
16cc7505-c131-49e4-9d2e-2cd817299cb8,d9bf33b8-1840-414d-98c6-28783bd17201,108,Suite,1,103.1,2 Bedroom Suite,4,1688.31,AVAILABLE,Sea View,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine, Work Desk, Kitchenette, Separate Living, Jacuzzi, Shower, Desk",4,2025,False,True,
e65fbf5a-e304-4821-9794-08ff89415e48,d9bf33b8-1840-414d-98c6-28783bd17201,109,Standard,1,28.3,2 Singles,3,217.43,AVAILABLE,Street,False,True,"TV, WiFi, Safe, AC",4,2021,False,True,
2e2d2283-0fad-4b39-b7d6-00ba65345f63,d9bf33b8-1840-414d-98c6-28783bd17201,110,Deluxe,1,44.0,1 King,2,352.89,AVAILABLE,Partial Sea,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine",3,2024,False,True,
4ed320ce-63c5-47f8-bd76-108d5b1619b6,d9bf33b8-1840-414d-98c6-28783bd17201,111,Suite,1,95.3,1 King + Living,2,1014.99,OCCUPIED,Sea View,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine, Work Desk, Kitchenette, Separate Living, Jacuzzi, Heating, Bathtub",4,2019,False,True,
3a60fa2e-382c-45e0-b02b-ab4fd83a8e7c,d9bf33b8-1840-414d-98c6-28783bd17201,112,Standard,1,23.7,1 King,2,345.0,AVAILABLE,Garden,False,False,"TV, WiFi, Safe, AC, Desk, Balcony",4,2014,False,True,
874863a0-e013-4914-bf72-9c0b37b9cbbd,d9bf33b8-1840-414d-98c6-28783bd17201,201,Executive,2,41.6,2 Kings,2,773.25,OCCUPIED,Executive Floor,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine, Work Desk, Lounge Access",4,2025,True,True,
d0a8e655-caec-4c5c-b6e2-5f93f3dac48b,d9bf33b8-1840-414d-98c6-28783bd17201,202,Deluxe,2,35.2,2 Queens,4,399.0,OCCUPIED,Garden,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine",2,2016,False,False,
a4b49aef-ebbf-45d0-8fb8-2ca9b3088faa,d9bf33b8-1840-414d-98c6-28783bd17201,203,Presidential,2,262.1,Multiple Bedrooms,6,10299.0,OCCUPIED,Best Available,False,False,"Everything, Butler Service, Private Pool, Multiple Bathrooms, Private Elevator, Wake-up Service, Balcony, Bathtub",3,2015,True,False,
fbbe7b97-e339-40b1-8d60-26f241340ce6,d9bf33b8-1840-414d-98c6-28783bd17201,204,Deluxe,2,32.3,1 King,2,799.0,AVAILABLE,Garden,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine, Desk, Heating, Newspaper",5,2011,True,True,
8e69bcbc-141f-4b11-8d90-b607c38cf1d3,d9bf33b8-1840-414d-98c6-28783bd17201,205,Family,2,45.2,Bunk Beds + Queen,3,467.23,OCCUPIED,Garden,False,False,"TV, WiFi, Safe, AC, Minibar, Kitchenette, Extra Beds Available, Bathtub",2,2026,True,False,
