transaction_id,account_id,transaction_date,transaction_time,amount,debit_credit,status,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_id,customer_id,loan_type,payment_type,is_recovery_attempt
TXNL20240000001,ACC0153474,2024-12-07,03:50:43,325956.62,Debit,Completed,Loan Payment - LN2024DIG000001,False,,2.5,,Automated,LN2024DIG000001,COM24000001,Business Loan,standard_payment,False
TXNL20240000002,ACC0153480,2024-06-15,03:02:27,1709.36,Debit,Completed,Loan Payment - LN2024BRK000002,False,,2.5,,Automated,LN2024BRK000002,SUB-COM24000002-1,Business Loan,standard_payment,False
TXNL20240000003,ACC0153480,2024-07-15,03:16:16,1709.36,Debit,Completed,  Loan Payment - LN2024BRK000002  ,False,,2.5,,Automated,LN2024BRK000002,SUB-COM24000002-1,Business Loan,standard_payment,False
TXNL20240000004,ACC0153480,2024-08-15,04:34:14,1709.36,Debit,Completed,Loan Payment - LN2024BRK000002,False,,2.5,,Automated,LN2024BRK000002,SUB-COM24000002-1,Business Loan,standard_payment,False
TXNL20240000005,ACC0153480,2024-09-15,04:56:38,1709.36,Debit,Completed,Loan Payment - LN2024BRK000002,False,,2.5,,Automated,LN2024BRK000002,SUB-COM24000002-1,Business Loan,standard_payment,False
TXNL20240000006,ACC0153480,2024-10-15,03:36:15,2861.99,Debit,Completed,Loan Payment - LN2024BRK000002- Extra Principal Payment,False,,2.5,,Online,LN2024BRK000002,SUB-COM24000002-1,Business Loan,extra_payment,False
TXNL20240000007,ACC0153480,2024-11-15,02:54:32,1709.36,Debit,Completed,Loan Payment - LN2024BRK000002,False,,2.5,,Automated,LN2024BRK000002,SUB-COM24000002-1,Business Loan,standard_payment,False
TXNL20240000008,ACC0153480,2024-12-15,04:05:41,1709.36,Debit,Completed,Loan Payment - LN2024BRK000002,False,,2.5,,Automated,LN2024BRK000002,SUB-COM24000002-1,Business Loan,standard_payment,False
TXNL20240000009,ACC0153473,2024-12-15,04:19:15,48209.78,Debit,Completed,Loan Payment - LN2024DIG000003,False,,2.5,,Automated,LN2024DIG000003,COM24000003,Business Loan,standard_payment,False
TXNL20240000010,ACC0153481,2024-12-07,04:14:03,50126.58,Debit,Completed,Loan Payment - LN2024LMF000004,False,,2.5,,Online,LN2024LMF000004,COM24000004,Business Loan,standard_payment,False
TXNL20240000011,ACC0153478,2024-12-07,03:44:28,311889.39,Debit,Completed,Loan Payment - LN2024APP000007,False,,2.5,,Automated,LN2024APP000007,COM24000007,Business Loan,standard_payment,False
TXNL20240000012,ACC0153478,2024-12-07,,390146.71,Debit,Completed,Loan Payment - LN2024BRK000008,True,,10.0,,Mobile,LN2024BRK000008,COM24000007,Business Loan,standard_payment,False
TXNL20240000013,ACC0100809,2024-09-02,03:25:11,478.7,Debit,Completed,Loan Payment - LN2024DIG000009,True,,10.0,,Online,LN2024DIG000009,IND23000005,Vehicle Loan,standard_payment,False
TXNL20240000014,ACC0100809,2024-10-02,02:44:55,478.7,Debit,Completed,Loan Payment - LN2024DIG000009,False,,2.5,,Online,LN2024DIG000009,IND23000005,Vehicle Loan,standard_payment,False
TXNL20240000015,ACC0100809,2024-11-02,03:16:58,478.7,Debit,Completed,Loan Payment - LN2024DIG000009,False,,2.5,,Automated,LN2024DIG000009,IND23000005,Vehicle Loan,standard_payment,False
TXNL20240000016,ACC0100809,2024-12-02,02:10:06,478.7,Debit,Completed,  Loan Payment - LN2024DIG000009  ,False,,2.5,,Automated,LN2024DIG000009,IND23000005,Vehicle Loan,standard_payment,False
TXNL20240000017,ACC0083299,2024-04-27,03:02:56,167.61,Debit,Completed,Loan Payment - LN2024BRM000013,False,,2.5,,Automated,LN2024BRM000013,IND23000058,Personal Loan,standard_payment,False
TXNL20240000018,ACC0083299,2024-05-27,03:31:03,167.61,Debit,Completed,Loan Payment - LN2024BRM000013,False,,2.5,,Automated,LN2024BRM000013,IND23000058,Personal Loan,standard_payment,False
TXNL20240000019,ACC0083299,2024-06-27,04:39:55,167.61,Debit,Completed,Loan Payment - LN2024BRM000013,False,,2.5,,Automated,LN2024BRM000013,IND23000058,Personal Loan,standard_payment,False
TXNL20240000020,ACC0083299,2024-07-27,02:53:27,167.61,Debit,Completed,Loan Payment - LN2024BRM000013,False,,2.5,,Automated,LN2024BRM000013,IND23000058,Personal Loan,standard_payment,False
TXNL20240000021,ACC0083299,2024-08-27,04:40:06,167.61,Debit,Completed,Loan Payment - LN2024BRM000013,False,,2.5,,Mobile,LN2024BRM000013,IND23000058,Personal Loan,standard_payment,False
TXNL20240000022,ACC0083299,2024-09-27,02:43:55,167.61,Debit,Completed,Loan Payment - LN2024BRM000013,False,,2.5,,Automated,LN2024BRM000013,IND23000058,Personal Loan,standard_payment,False
TXNL20240000023,ACC0083299,2024-10-27,03:00:06,167.61,Debit,Completed,Loan Payment - LN2024BRM000013,False,,2.5,,Automated,LN2024BRM000013,IND23000058,Personal Loan,standard_payment,False
TXNL20240000024,ACC0083299,2024-11-27,04:04:54,167.61,Debit,Completed,Loan Payment - LN2024BRM000013,False,,2.5,,Automated,LN2024BRM000013,IND23000058,Personal Loan,standard_payment,False
TXNL20240000025,ACC0083299,2024-12-27,04:40:20,264.81,Debit,Completed,Loan Payment - LN2024BRM000013- Extra Principal Payment,False,,2.5,,Automated,LN2024BRM000013,IND23000058,Personal Loan,extra_payment,False
TXNL20240000026,ACC0083299,2024-09-02,03:12:41,253.9,Debit,Completed,Loan Payment - LN2024BRM000014- Late Payment (Fee: R12.09),False,,2.5,,Automated,LN2024BRM000014,IND23000058,Personal Loan,late_payment,False
TXNL20240000027,ACC0083299,2024-10-02,02:04:38,241.81,Debit,Completed,,False,,2.5,,Automated,LN2024BRM000014,IND23000058,Personal Loan,standard_payment,False
TXNL20240000028,ACC0083299,2024-11-02,02:27:10,241.81,Debit,Completed,Loan Payment - LN2024BRM000014,False,,2.5,,Automated,LN2024BRM000014,IND23000058,Personal Loan,standard_payment,False
TXNL20240000029,ACC0083299,2024-12-02,04:52:07,241.81,Debit,Completed,Loan Payment - LN2024BRM000014,False,,2.5,,Automated,LN2024BRM000014,IND23000058,Personal Loan,standard_payment,False
TXNL20240000030,ACC0110699,2024-10-27,04:59:59,166.59,Debit,Completed,Loan Payment - LN2024BRM000017,False,,2.5,,Automated,LN2024BRM000017,IND23000183,Vehicle Loan,standard_payment,False
TXNL20240000031,ACC0110699,2024-11-27,03:29:06,166.59,Debit,Completed,Loan Payment - LN2024BRM000017,False,,$2.5,,Automated,LN2024BRM000017,IND23000183,Vehicle Loan,standard_payment,False
TXNL20240000032,ACC0110699,2024-12-27,03:42:10,166.59,Debit,Completed,Loan Payment - LN2024BRM000017,False,,2.5,,Mobile,LN2024BRM000017,IND23000183,Vehicle Loan,standard_payment,False
TXNL20240000033,ACC0110699,2024-06-01,03:17:04,203.65,Debit,Completed,Loan Payment - LN2024BRK000018,False,,2.5,,Automated,LN2024BRK000018,IND23000183,Vehicle Loan,standard_payment,False
TXNL20240000034,ACC0110699,2024-07-01,04:46:56,203.65,Debit,Completed,Loan Payment - LN2024BRK000018,False,,2.5,,Automated,LN2024BRK000018,IND23000183,Vehicle Loan,standard_payment,False
TXNL20240000035,ACC0110699,2024-08-01,02:54:55,203.65,Debit,Completed,Loan Payment - LN2024BRK000018,False,,2.5,,Automated,LN2024BRK000018,IND23000183,Vehicle Loan,standard_payment,False
TXNL20240000036,ACC0110699,2024-09-01,04:43:27,203.65,Debit,Completed,Loan Payment - LN2024BRK000018,False,,2.5,,Automated,LN2024BRK000018,IND23000183,Vehicle Loan,standard_payment,False
TXNL20240000037,ACC0110699,2024-10-01,03:37:43,203.65,Debit,Completed,Loan Payment - LN2024BRK000018,False,,2.5,,Automated,LN2024BRK000018,IND23000183,Vehicle Loan,standard_payment,False
