room_id,hotel_id,room_number,room_type,floor,size_sqm,bed_type,max_occupancy,price_per_night,status,view_type,is_accessible,is_smoking,amenities,condition_rating,last_renovated,has_balcony,has_bathtub,accessibility_features
1315e5ce-6b7f-43c7-9ef4-4089931c7b2c,82958c98-18a5-4f9a-9695-04f292b4abb2,101,Standard,1,25.3,1 King,2,170.0,AVAILABLE,Street,False,False,"TV, WiFi, Safe, AC",5,2007,False,False,
70a20936-0086-49ca-9924-35c44576539d,82958c98-18a5-4f9a-9695-04f292b4abb2,102,Standard,1,28.3,1 King,2,165.4,AVAILABLE,Garden,False,False,"TV, WiFi, Safe, AC",4,2019,False,True,
3de08522-94f5-4139-98d9-841ac1aeac47,82958c98-18a5-4f9a-9695-04f292b4abb2,103,Executive,1,53.1,1 King,2,385.0,OCCUPIED,City,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine, Work Desk, Lounge Access, Bathtub, Shower",5,2022,True,True,
01ff2201-d5a3-4a07-aad7-0c07bd92eec7,82958c98-18a5-4f9a-9695-04f292b4abb2,104,Deluxe,1,43.7,1 King,2,255.0,OUT_OF_ORDER,Garden,False,True,"TV, WiFi, Safe, AC, Minibar, Coffee Machine",3,2025,False,True,
c4ff74e4-e806-4a81-a5d9-5b5a1ff043b1,82958c98-18a5-4f9a-9695-04f292b4abb2,105,Standard,1,27.7,1 Queen,2,156.65,AVAILABLE,City,False,False,"TV, WiFi, Safe, AC",3,2011,True,False,
a8fb3bf5-03a1-4cc5-b08c-7b2d1b71f473,82958c98-18a5-4f9a-9695-04f292b4abb2,106,Deluxe,1,36.1,1 King,2,499.0,AVAILABLE,City,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine",4,2007,False,True,
df00fd56-39aa-486e-9cfd-a45dd8b87a1f,82958c98-18a5-4f9a-9695-04f292b4abb2,107,Executive,1,47.9,1 King,2,633.38,RESERVED,Harbor,False,True,"TV, WiFi, Safe, AC, Minibar, Coffee Machine, Work Desk, Lounge Access",3,2014,False,True,
312c051c-6909-40d1-b4e0-fa71b8a6c19a,82958c98-18a5-4f9a-9695-04f292b4abb2,108,Standard,1,21.1,2 Singles,3,115.0,OCCUPIED,Street,False,False,"TV, WiFi, Safe, AC",3,2025,False,False,
57978a1f-b68c-4772-a946-f50df69a4638,82958c98-18a5-4f9a-9695-04f292b4abb2,109,Deluxe,1,43.5,1 King,2,308.12,AVAILABLE,Garden,False,True,"TV, WiFi, Safe, AC, Minibar, Coffee Machine, Heating",4,2026,False,False,
7c739ab5-035b-478a-ab13-43cb41c4e101,82958c98-18a5-4f9a-9695-04f292b4abb2,110,Suite,1,73.0,1 King + Living,2,969.06,RESERVED,Executive,False,False,"TV, WiFi, Safe, AC, Minibar, Coffee Machine, Work Desk, Kitchenette, Separate Living, Jacuzzi",4,2019,False,False,
